month,is_inserted,aoi_px,observed_px,observed_frac_of_aoi,p_native_wet_frac,p_resolved_wet_frac
2005-10,False,499979,489228,0.9784970968780689,0.0004435559698136656,0.00043401822876560817
2005-11,False,499979,489243,0.9785270981381218,0.0003065961086821886,0.0003000126005292222
2005-12,False,499979,395013,0.7900591824856644,0.001334133307005086,0.0010540442698593342
2006-01,False,499979,353245,0.7065196738263007,0.029945222154595254,0.02115688858932075
2006-02,False,499979,489238,0.9785170977181041,0.033960976048467206,0.03323139571862018
2006-03,False,499979,489237,0.9785150976341006,0.17043682305303973,0.16677500455019112
2006-04,False,499979,489168,0.9783770918378571,0.01213693455009322,0.011874498728946616
2006-05,False,499979,489216,0.9784730958700265,0.009776867477760335,0.009566401788875132
2006-06,False,499979,489196,0.9784330941899559,0.007087138897292701,0.00693429124023209
2006-07,False,499979,489186,0.9784130933499207,0.004828429268212909,0.004724198416333486
2006-08,False,499979,489226,0.9784930967100618,0.0031478294285258754,0.003080129365433348
2006-09,False,499979,489232,0.978505097214083,0.0017844294731334009,0.0017460733350800734
2006-10,False,499979,489252,0.9785450988941535,0.0009483865165599731,0.0009280389776370608
2006-11,False,499979,395893,0.7918192564087692,0.0011947672729752737,0.000946039733668814
2006-12,False,499979,489244,0.9785290982221253,0.0016924070606895536,0.0016560695549213066
2007-01,False,499979,488428,0.9768970296752464,0.014720695783206532,0.014380603985367385
2007-02,False,499979,489245,0.9785310983061288,0.007495222230170978,0.00733430804093772
2007-03,False,499979,489242,0.9785250980541182,0.005441070063485964,0.0053242236173919304
2007-04,False,499979,489244,0.9785290982221253,0.016278176124796626,0.015928669004098173
2007-05,False,499979,489237,0.9785150976341006,0.0061647013615078175,0.006032253354640895
2007-06,False,499979,489194,0.9784290940219489,0.004392940224123763,0.004298180523581991
2007-07,False,499979,489194,0.9784290940219489,0.004119020265988545,0.0040301692671092185
2007-08,False,499979,489229,0.9784990969620724,0.002446706961361653,0.0023941005522231935
2007-09,False,499979,489243,0.9785270981381218,0.0017087623123887312,0.001672070226949532
2007-10,False,499979,489134,0.9783090889817372,0.0011183029599250922,0.001094045949929897
2007-11,False,499979,489137,0.9783150892337478,0.0013186489674671923,0.0012900541822756556
2007-12,False,499979,373463,0.7469573722096328,0.0020965932368132855,0.00156606577476254
2008-01,False,499979,489256,0.9785530992301676,0.007617688899063067,0.007454313081149408
2008-02,False,499979,440688,0.8814130193468126,0.030493228769560322,0.026877128839411256
2008-03,False,499979,489257,0.9785550993141712,0.014370770372217465,0.01406259062880641
2008-04,False,499979,489257,0.9785550993141712,0.009688159801494919,0.009480398176723422
2008-05,False,499979,489173,0.9783870922578748,0.006279986834923432,0.006144258058838471
2008-06,False,499979,489169,0.9783790919218607,0.0040435922963229474,0.003956166158978677
2008-07,False,499979,416556,0.8331469921736713,0.0031952486580435766,0.0026621118086959652
2008-08,False,499979,489222,0.9784850963740477,0.002285261088013213,0.0022360939159444698
2008-09,False,499979,489248,0.9785370985581394,0.0015901955654392045,0.0015560653547448994
2008-10,False,499979,489253,0.9785470989781571,0.0010996355668743984,0.0010760451938981437
2008-11,False,499979,489258,0.9785570993981747,0.0010076483164301862,0.000986041413739377
2008-12,False,499979,489215,0.978471095786023,0.0026552742659158037,0.0025981091205830643
2009-01,False,499979,443768,0.8875732780776793,0.02903318851291666,0.02576908230145666
2009-02,False,499979,462158,0.9243548229025619,0.20868620688162923,0.19290010180427578
2009-03,False,499979,489233,0.9785070972980865,0.01844111088172711,0.018044757879830953
2009-04,False,499979,489244,0.9785290982221253,0.012384413503282616,0.01211850897737705
2009-05,False,499979,489211,0.9784630954500089,0.009470351239035916,0.00926638918834591
2009-06,False,499979,489185,0.9784110932659171,0.0060631458446191114,0.005932249154464488
2009-07,False,499979,489188,0.9784170935179277,0.006061064457836251,0.005930249070460959
2009-08,False,499979,489217,0.97847509595403,0.0073443890952276806,0.007186301824676637
2009-09,False,499979,489233,0.9785070972980865,0.00606868302015604,0.005938249406475072
2009-10,False,499979,489229,0.9784990969620724,0.005163226219214315,0.0050522121929121025
2009-11,False,499979,489226,0.9784930967100618,0.00450098727377531,0.004404184975768982
2009-12,False,499979,489163,0.9783670914178395,0.0033260896674523624,0.003254136673740297
2010-01,False,499979,462333,0.9247048376031793,0.008310027620784153,0.007684322741555145
2010-02,False,499979,489243,0.9785270981381218,0.011466694464713854,0.011220471259792912
2010-03,False,499979,489246,0.9785330983901324,0.006403731456159069,0.006266263183053688
2010-04,False,499979,489240,0.9785210978861112,0.003899926416482708,0.003816160278731707
2010-05,False,499979,489219,0.9784790961220371,0.0028555718400143904,0.002794117352928823
2010-06,False,499979,489198,0.978437094357963,0.003033536523043839,0.002968124661235772
2010-07,False,499979,356214,0.7124579232327758,0.0014710258440151145,0.0010480440178487498
2010-08,False,499979,402145,0.8043237815988271,0.00161633241741163,0.0013000546022932963
2010-09,False,499979,97515,0.19503819160404737,8.203866071886377e-05,1.6000672028225185e-05
2010-10,False,499979,489219,0.9784790961220371,0.00262050329198171,0.002564107692523086
2010-11,False,499979,486548,0.9731368717486134,0.0010502560898410845,0.0010220429258028837
2010-12,False,499979,489236,0.9785130975500971,0.001645422659003017,0.0016100676228401592
2011-01,False,499979,489242,0.9785250980541182,0.022966139456547068,0.022472943863642274
2011-02,False,499979,430005,0.8600461219371214,0.06326438064673666,0.054410285231979744
2011-03,False,499979,206326,0.41266933211194873,0.46105192753215785,0.19026199100362215
2011-04,False,499979,489248,0.9785370985581394,0.03660720125580483,0.03582150450318913
2011-05,False,499979,489212,0.9784650955340124,0.013161982943999739,0.012878540898717747
2011-06,False,499979,489192,0.9784250938539418,0.011341150304992723,0.011096466051574166
2011-07,False,499979,489202,0.9784450946939771,0.010410832335109014,0.010186427829968859
2011-08,False,499979,489243,0.9785270981381218,0.009226498897275996,0.009028379191926061
2011-09,False,499979,489260,0.9785610995661818,0.006064260311490823,0.005934249238468015
2011-10,False,499979,486739,0.9735188877932873,0.005298527547617922,0.005158216645099094
2011-11,False,499979,485958,0.9719568221865318,0.004963391898065265,0.004824202616509893
2011-12,False,499979,451669,0.9033759417895552,0.007642764945125745,0.006904289980179168
2012-01,False,499979,390462,0.7809568001856078,0.009560469392668173,0.007466313585170577
2012-02,False,499979,466028,0.9320951479962158,0.010160333713854103,0.009470397756705782
2012-03,False,499979,351367,0.7027635160676748,0.037066656800439426,0.026049094061950603
2012-04,False,499979,489234,0.97850909738209,0.012415326817024164,0.012148510237429973
2012-05,False,499979,394077,0.7881871038583621,0.010975012497557585,0.00865036331525924
2012-06,False,499979,397384,0.7948013816580296,0.008339540595494535,0.006628278387692283
2012-07,False,499979,489171,0.9783830920898677,0.007457514856767879,0.007296306444870684
2012-08,False,499979,421106,0.8422473743897244,0.00675364397562609,0.005688238906034053
2012-09,False,499979,482370,0.9647805207818728,0.003681821008769202,0.003552149190265991
2012-10,False,499979,489162,0.978365091333836,0.0016374943270327622,0.0016020672868260466
2012-11,False,499979,386134,0.7723004366183379,0.0014088373466206031,0.0010880456979193126
2012-12,False,499979,487157,0.9743549229067621,0.002896396849475631,0.002822118528978217
2013-01,False,499979,420961,0.8419573622092128,0.0006413895824078715,0.0005400226809526
2013-02,False,499979,359511,0.7190522001924081,0.004609038388255157,0.0033141391938461416
2013-03,False,499979,489099,0.9782390860416137,0.010384400704151921,0.010158426653919465
2013-04,False,499979,489219,0.9784790961220371,0.005296196590892832,0.005182217653141432
2013-05,False,499979,489213,0.9784670956180159,0.004313049734982513,0.0042201772474443925
2013-06,False,499979,489151,0.9783430904097972,0.004215467207467633,0.004124173215275042
2013-07,False,499979,489225,0.9784910966260583,0.002783995094281772,0.002724114412805338
2013-08,False,499979,489262,0.9785650997341888,0.0018149784777889966,0.0017760745951329955
2013-09,False,499979,489253,0.9785470989781571,0.0012917652012353527,0.0012640530902297896
2013-10,False,499979,475074,0.9501879078921315,0.0005725423828708791,0.0005440228489596563
2013-11,False,499979,489238,0.9785170977181041,0.0005886705448064132,0.0005760241930161066
2013-12,False,499979,436220,0.8724766440190488,0.0034913575718674063,0.0030461279373733695
2014-01,False,499979,488748,0.9775370565563753,0.004437869822485207,0.0043381822036525535
2014-02,False,499979,489231,0.9785030971300794,0.206787795540348,0.20234249838493218
2014-03,False,499979,474993,0.9500259010878457,0.012377024503519,0.011758493856741983
2014-04,False,499979,489250,0.9785410987261465,0.00974757281553398,0.009538400612825739
2014-05,False,499979,489226,0.9784930967100618,0.008493007321769488,0.008310349034659456
2014-06,False,499979,489213,0.9784670956180159,0.00463806153965655,0.004538190604005368
2014-07,False,499979,489204,0.9784490948619842,0.0036303873230799423,0.003552149190265991
2014-08,False,499979,489204,0.9784490948619842,0.0025858333128919633,0.0025301062644631075
2014-09,False,499979,489256,0.9785530992301676,0.0015268080514086696,0.0014940627506355266
